signature,slot,block_time,fee,compute_units,instruction_count,program_ids,account_count,total_positive_balance_changes,total_negative_balance_changes,hour,weekday,slot_rpc,block_time_rpc,fee_lamports_rpc,compute_units_rpc,compute_units_rpc_new
5ogcdrCz2fXR4bJVkPWNqZuhj2av651wKfBqn4yLF37obv1wcrUCVN7kcimHYwBNnHa9S6T7kCZCM6AHE4KCx58N,358934433.0,1754756289.0,505000.0,47311.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,21.0,5.0,358934433.0,1754756289.0,505000.0,47311.0,47311.0
3VLdJRKM6vfggD9kWD8iinpiWhAo5mg24ApFE5ThwGnTF7YraVYkib3TdDZgAzVqwv8mzsPBiedAsHKewopzjffK,358929598.0,1754754346.0,505000.0,,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,21.0,5.0,,,,,
5AKUew7Sw2WidW5uzALuD7KECVpSSsJoGsCJc2q7eAwUgxpuZmniGJw2FBM4ALXLFDidjCap8aDoXbgCcDPgauJ9,358924889.0,1754752464.0,105000.0,40233.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,7593471085.0,7593576085.0,20.0,5.0,358924889.0,1754752464.0,105000.0,40233.0,40233.0
4Upwdp6jYzMTDdTGa3kVZYh7RRy4b4hAGjEfm2t7UCwKGyP2mgwsGjDeaYebZTJpyqYFUSEGxWM1EQpnCKLR7Qa9,358924878.0,1754752460.0,505000.0,40224.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,7569572732.0,7570077732.0,20.0,5.0,358924878.0,1754752460.0,505000.0,40224.0,40224.0
5MTd2MFoy9TspiUExTYaSGxtRznWGqnjsftAsFh5B6YDDTND42XfYa8KLvFraRwAGrCMK2uGEAtPhPNT2XybPfYS,358923640.0,1754751966.0,105000.0,71653.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,3672437945.0,3672542945.0,20.0,5.0,358923640.0,1754751966.0,105000.0,71653.0,71653.0
5qXmXpcvnEMXoSExSduaeLEVqPRTB73n8mo9Asnph5qzrTs1tmUgzyvwPVGsLhs6tHbGfFAye9Nshczn95qitrWE,358923617.0,1754751957.0,505000.0,,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,3574011314.0,3574516314.0,20.0,5.0,,,,,
4qgQfNF2Cg2BoFuEG7QxBt39J6eh7Q3WGtkcGVvAe57Q3SwSDE7YTmdT36CVUvMaBXqveHp4zktRsC3KvX9JcRU2,358922499.0,1754751510.0,505000.0,48796.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,20.0,5.0,358922499.0,1754751510.0,505000.0,48796.0,48796.0
44cSf9JGbBg96QvMeQo9HdDP7qyQmWBPUAexsoZi4jHBiR41BVJMcqqDannza1mSYbmeucEkuBPhmgErdckAQrZM,358922093.0,1754751344.0,105000.0,,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,1868141018.0,1868246018.0,20.0,5.0,,,,,
5LL1yJBtnrdjw4ZgWy96sdmDU5K2bzQunJsDCJ4E1irSvgiiEVbM2LZVKajdhDSovAEsEXarep4LLdinVJqQ3HWy,358922088.0,1754751343.0,105000.0,,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,1834964806.0,1835069806.0,20.0,5.0,,,,,
5PeR1xnP4WY39WagNAGhVMHQmfMDwQQQbPMvw4fXCF4y3aLSN9ySAPpGD1NMdDwJZhQLA959cq7mfVopjb7uJnGb,358922084.0,1754751341.0,505000.0,,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,3548212735.0,3548717735.0,20.0,5.0,,,,,
29Dz3XiA581SZdb1ftmEtUWr9jiBwUZALCa9jpRoif5HgW1mbY1NXhRPhwPyBVPTJRDCmxnLkdAqLsqfGxoQoYca,358914092.0,1754748158.0,105000.0,40212.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,5951703781.0,5951808781.0,19.0,5.0,358914092.0,1754748158.0,105000.0,40212.0,40212.0
4Z8aXyQvJ7LL8ucn6C4oKxDvrAPHf3dvU5sLo2LteGcnKXUSAYGckSzVZuULkV2hJufECm42vYAXoDkiinJcwosy,358914085.0,1754748155.0,505000.0,,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,5799894657.0,5800399657.0,19.0,5.0,,,,,
5M16tKbNKZSgPUuzW3QQprBhbgEZS9bvuT6UcAirhxzr4b77Pz8YpMf1HuNSAq96bThod8pGrjdzkDhzFopVZx8,358910752.0,1754746815.0,505000.0,,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,19.0,5.0,,,,,
5BZfKXob81vXPTuunzcgbwJYNauqoceFbheWYuCp6Lu5YdAFZ1vcCKbQ7wYv7ShCKtFnRNNkqVJhSPs4MfvEzsWV,358903170.0,1754743795.0,505000.0,,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,18.0,5.0,,,,,
3qYW7rzCMD4xG63VTgqfTRmqdx9KkhQBj9a19pXYdByo5kCFxTNFr2ZT9E9FgUpy9pjW73Nm8sZ3YvVyQ7wEB6n5,358899923.0,1754742480.0,105000.0,73261.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,11206117457.0,11206222457.0,17.0,5.0,358899923.0,1754742480.0,105000.0,73261.0,73261.0
4rcZrdZnSGsynofPHVzW99hjQ3nu3rE18q4ygF7pTdfhPqc7oNsjVSENUzKzqBAdKawE1sLQspiRbAiSYPB1hbtk,358899907.0,1754742474.0,505000.0,90997.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,10926814645.0,10927319645.0,17.0,5.0,358899907.0,1754742474.0,505000.0,90997.0,90997.0
3wNXD74mYv6UBxfwPqJWaXWxw3wtt1V2r5Cyr87oA9EzADGE4idTYNByae4zWULVkvdDaHRMxtzZ7wSq8bsLkbw,358897241.0,1754741414.0,505000.0,45817.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,17.0,5.0,358897241.0,1754741414.0,505000.0,45817.0,45817.0
4Y3apA5FhnKKZkbQz11xLLbxUGW6gSuXCzbSK3c3iGgCzNgqDj2mQ6Dwtm6BtKD6DeWNACnRqQfqquGWoF9YKACE,358895603.0,1754740761.0,505000.0,15164.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,0.0,505000.0,17.0,5.0,358895603.0,1754740761.0,505000.0,15164.0,15164.0
4UhroC7K7ZqAvJ7kKBdTTHvrBbPjbu41gyGeoyrbWiUcdWGLW6BngKu7DKiLHQtScENBBJfZFegREjagFQmH61m4,358895568.0,1754740745.0,505000.0,,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,17.0,5.0,,,,,
2myMVtErhwoFnpqcfnsgAWwbzp392PTqVQdmMqqH8MqEA1ibvL7mYjuVoLnA3QThGZzP1ScCfF1hhBniKtsKi6pY,358895287.0,1754740634.0,105000.0,,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,6013098582.0,6013203582.0,17.0,5.0,,,,,
3QBqKdQYXuozRtiYvets4Lq1BzudNw5nwVq1vgbs5AKme6TFed9dKJTEkQccx7imjkSaNrRdyJZivNoigBG39qxM,358895284.0,1754740633.0,505000.0,40222.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,6002751925.0,6003256925.0,17.0,5.0,358895284.0,1754740633.0,505000.0,40222.0,40222.0
znRJopVaAtNA5NBHmgHPUEHhTpGgTsN4GArZ8rud68o9DM2Ln442jYBRJaNVsxB1yKf4GXsxypZAtKrxy655Kge,358895180.0,1754740592.0,505000.0,24332.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,0.0,505000.0,17.0,5.0,358895180.0,1754740592.0,505000.0,24332.0,24332.0
3ULk7sVoKqmcK5cknytRzMW9YLrc7Uob7fGCymLnnyf9Aap86RKXr6NkMThVgLg3Un14kg2VfvqhBksBm5TBFx27,358894530.0,1754740338.0,105000.0,29627.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,10307983432.0,10308088432.0,17.0,5.0,358894530.0,1754740338.0,105000.0,29627.0,29627.0
5erFiEkmAPCNebYSgzo4AZSgAQ6tA9aqT76p99e3bHtE7greebGuDKPBHizRfPF8tPGJ3SkeL9it8nx2UU4Fi6JC,358894524.0,1754740336.0,505000.0,,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,10000000000.0,10000505000.0,17.0,5.0,,,,,
4vss5rxCcujUS7kdf26cEQjwiLErZZWGNBjzFr6sF9S6Mh3ukuH3Tf2ZJepgJwQXcTQXEJmDfKhLVo9aLcBvwdjq,358893288.0,1754739845.0,105000.0,,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,2948503424.0,2948608424.0,17.0,5.0,,,,,
5u5NziUbuvGphZGuRHfevFi43Rd29cGdQWBUxfC2SfVtgTWounJvaWuqhtvGXUahWKT2ZzxFATMWgs9a21ciwShP,358892929.0,1754739705.0,105000.0,,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,1000000000.0,1000105000.0,17.0,5.0,,,,,
54zY9LBtKkgckfobujJroT4RpuQzv6UcL2bmRsNqaA1x1VFnWwRYDPnygwSrSX83yGH8hDfdb1ETZ7rqJSRH2fkB,358892857.0,1754739675.0,105000.0,,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,2000000000.0,2000105000.0,17.0,5.0,,,,,
2hspYknwf1hKqPk1FVtuoyzYruydBbPHE1yvzrSfu4DM6QoUEfr3AV5iMU2hJcBfoM6mbESv3uFGJS9qixvkwCNw,358892846.0,1754739671.0,505000.0,15159.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,0.0,505000.0,17.0,5.0,358892846.0,1754739671.0,505000.0,15159.0,15159.0
5Cx2GaiHaiQxQg2YBqWZ48NVaESpaYa8fzSLypdXBQzypdcJQaKfPPTDuQwibTovCLf98hyYRyQTNnDDCr2tWsNY,358892241.0,1754739426.0,105000.0,74761.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,10006906482.0,10007011482.0,17.0,5.0,358892241.0,1754739426.0,105000.0,74761.0,74761.0
