signature,compute_units_rt,fee_lamports_rt,fee_sol_rt,latency_seconds_rt
3av8cTEh85gLvEV7AikDjhWoN5bnfpwLGVYCEhBVJCj3BNihsuuranBHMaScfPE3J4tdtNumzFwap9mxNmaXRugi,,,,
Yn8S6wziu8fCdWfcNYjBoff1Q87R3Pu5bZadGGK9kPeAN4kfwaQqunFiVNGN6wRYLRnkrSVk173G5qTbtL5dqST,,,,
3Vor5VxSVNPaAz39jiAXqkr8CjMkf46Zt2CtoVZdnEFSVgqi4rGAgUB83qp2CGZPvtQxAm3GirTKTFdNae7PWU94,,,,
4vCvHnu4aBvZKQrQKRovXer3mCdPkVNrgrZYfeumAqki55umQAXnK9Z5F8sy6HE7x4cuDmu96qagA14SNK2VGvkV,,,,
61VrcQiNBAbWf2qwvWGLpFm6puYkXNenBBiA9AfPSQmL9PRTv5aZzv5rNGZGbjYiUiNRUz31K8JpaxSaeh7PbG5H,,,,
5ixQJWFYbPJHnJU7JuEt7JaxBFHxTkrG4cK6eZAHTMG8aVEYZrNxpDfXRsxHPAzB8P99x5TiEecmbHzmarxU51ME,,,,
51BHywMsogyxWQqjJmjnmCSQXFkif7xgLzJqH16YttCHbxcLfabiZNCwnoYV4VXj8SnH54iK5r3ZqaGiFdXi57nK,,,,
4p1fuG1kU7ZM88JbgCpmgrRxJJJzU6hnpM8otbascXRQYri4RhM1ttZiEP7xQupc2cqWPB9doyeT7Vv96gypbREx,,,,
2NzCX9oUZJqmnPHNB59Q6Y2R7vrhtkzT2VU9fycgFR6Kqph42Cm43HxVsJ8P5GQ1g3Hz5GFcNxm6zos9KQLrVMr8,,,,
5jFSDcUdZsYhmesrca2kEnMP71f13iEfrGtrSRRr7jnBXpgKxGHh9UZGuT7uatUrrUabhu2kns1chBzRJDespAxr,,,,
5tSB5vD8e4P9FpdefwfULWVDoWxPx86UaFRpg6i71hzXowh1zA126C3FcXaB9UXsfd3UfM5kyMAnSozirXdPpNDV,,,,
Lxu1VzL59hTyiyudH7LUW3uvAC9D7shqG6U3xtN1spVRbn1hqAB6bkNsV6NzXtBbT4Wj3sayuGXRwc8BNGzqn5U,,,,
36xGYqQknANQg95iGUZ2qDAh2XoWMnvP1Tk9v94kvAYigCoTMJFQqNvFbnGPDN7HioCY4WrREhzASLjGC5fWQSuF,,,,
4Hrgg1h4Bak8knMXG7MsCTwZZjpjp62MYtSht1UenA4sZ43CjWaZecHT61L9ukGsNPsghkPrxruSKecyQqgLeQqJ,,,,
2zUKUhVJkWvs1YPPjQySBHfHQYNGF32e7DAYzCoPZcmRTTs4eMiwZWr5WHXT2WCmov3QUkMZcUAZjNRA1J7kdu2u,,,,
5eTWLTTDrJhPTv5TeEwN4GKjRBw8Lqc1vFU8kF4deLybfzdqaaazetrX9MrmeoWxgh6L6cnbLDVRQgvgTA9VfQbd,,,,
3aPUW1PF667zUreXN7jAv81resrs9hSRbwFP7ZwLZLkLqcxA9Eo7LxjVgDAXPqbiSXdxXnWbRQeVxirm3ZJ6XLk5,,,,
4jzV5YKqq2HVvNQHEjGwaoC8QKaYUvHnZ291Jp156WRJeDvmcH6AqmBsBzc36fRQVSHvhFCiFn8fFBP6cXVPcoKV,,,,
3GX5qEVvhi4eC3MN6GERNPPtTQakjj3qhfSoZMgjtHkDtYPmDC4yZSnk6hWMAXkPwdN9kp62op77i2kki5ZFyCiC,,,,
muBzLb7jbysEfFUv49oS9JtgYSu1edRL9BPaS8q339pVPZbdVLVFoQYnZhhpZY13uj9kDgX3zbU95sacVoKgRrQ,,,,
5MYSbB5GFuFMRoCY9XHG5Pzfufk7Z3NjTiqUKTkmQYzC2xXwBefGKfBrip2JCvBw3JLNAnBAvBgHoi4s7moLNtjW,,,,
2SYgKQifq3Z43X7FrLve8G6EbNdnLTekAeR8zhWqLHQFi5FcfwvuwtwfMVs4vzmUw4DgS1QD3nHje9bW3czPmEW2,,,,
2vGSgDeReo79JyxFcw1jpiD8zLxdaYtfL4eaksZDx3pzErzQpUkk38PLknzuKWoV7qSPUwefF7pv7qJqZetwKKmr,,,,
Mo3gdrzh26mdJyCDi26PtNWBthwa9aSBKEzTNj4SX3hir3AZgzjydY7gy8ETQSjSvdiMEv7cou1WkS1kPPQLBis,,,,
2JCdTAkxh8ydfD6cRgaHxgmURoeb3NRivwFTevKKC2XgvvNG9gsHD5WBQ16Tvn5gBjBCjKHot7yBmjCms6NFHSk9,,,,
4BrRB3urpPCm3fq2urJNHBrz5Tv2AC5MUWWoVaaAPcVUsLj7bm3my4ko2HNGpPkQe1nsmHuxMDSyPR72euW82fo6,,,,
5Yc5n8YRkVryB2kxkJB8vS9c16dE81YyYR4tGPvPXPiQcJJGDx6tihFHjSTrFcMKhvSJh7XsbLmUF6JcSgAyMpkh,,,,
4qGMAg5tFLStw2ktNe4a5UuNuATgHyJSUwCXhw6e4YkKMX17L65ST5N7BCB79QYGDdTeDU6gmtFcr98ujifPjZaW,,,,
4A1wPXHHu9wD2B1YQH7govErDrvwKmT53D8FvXNd2DTiPKq3t5KzH5YVUur4hR2Cg3A44sAe7yHzzCEYmbNR4QUR,,,,
3DHpEEFUSJkuK4T92EQBXJi2hR9DWeWZ3Rrp1gjGpZzEhJ2PJdwGFZMHaqgc4uHYxmHyHWRfefUqtwyY4C8bXY1x,,,,
55u6wFRQeUSmWpi5FDmhLfgXZR4PcC53njdu25weC8X6U3gWFBXCuatvSAHJ9vrSQZp285Voxc7G4vygXEdCbZyV,,,,
v6gMFkYDPUoXJsJmtGdPoUHk3prcWo53e3bvqeJtcos1paydTyiKXPMuDuwkeB73MSz4WwwSPt1g3tVXRfQcuEc,,,,
3FJiPu1DNREqw55VctHNHXjKDbD1AD6iH96H8G92ri3XHhGzDyENZECFqLhQZP8QP2mSie84Ye2iAXgwh21MAq2j,,,,
2f493zC8v5iS2YYumC395mYuQvJ4U8H7xiPTpUpKn2odt3mVZfdwtG727GQ3RsKVTKpcpzFmGxNtMVHmf6GKNVPU,,,,
5h8S7irERJQpJLcZY87jhLLNGvzizoqFaJDZnpkhpGr8S1ZMbVEkudSvQevijoQxqR6LyKpFSx5Gpk5rrkeyYWrd,,,,
37pkqcZ3dr4RLAftFzCPyvyyuFbsedukrggFhoJrfLqFrtcfjfJZyVwTkrRvP1hBnv92cfFdnp5rTT6mFW8AqqW8,,,,
aa7ggy38TK5R2wUSRwqosdpoWdzpTpxgrZe9Vse4GGzgjhkHPLXe39KsNGbi2YBAfyqpo4SDqhX1SbArwmBUzCt,,,,
4NrbMy3mpQ1dqiZeBU37VJCH7aDPhHcxyDkgUW4xFCf8DyXjkK17x2AnpAY5JkU4VFCZsp4sAQ57AE2mMsaUCx4W,,,,
ifceqYeoKFyaxrRfbBY5ydZbs9T7vw4TdahEdAGh1ibzBf6Bb1uihqBVP7ByR6gs7W7jn8g35vt9EnNHgWHaz9o,,,,
5iu2GqEhbnN2WDsYyUBNBks2gw6EWkxcg86ZDuN9rznvv9kkDge2DcbPk4R8GipedAvBG6eTmo6aou5LFMviLWdg,,,,
2s5zow3aDfTDExqDbSVeLbWmBJh85tAoBVmDZ7d5gNTJmL4LzUKstejd9d9j8UKmY3M6tKaLb6GmkWMK9iCRN3Hu,,,,
3mH4YKGZjFHL7AcKN32BejDBqFggGKV72KDuVET6hk6bheWuPEPBuKBVWKhF9L8QScZPtJRB2WEWBP9uh1J3onfd,,,,
43HiFnjYxh1XsvRCC89SkftMaL6YAiy5kXTNRRwPdrV3Yn8ymVteRySEisCsgk2WHEw7BrPVSvGNr7Qghx4wgwsA,,,,
5KcX2rZBKf3aDZVt5rPN8XjKqJfrSiPzKP5iswgSRYew3awzpY6Kwj3jPdyD6afSq9r6X3J6Jm4Etve3nqwYzPpn,,,,
4WkKV8Pvu8Mu6eTBADSjgU79PVxBKuBXdMNAMb93h6ok45jeC59wvcbgmnaFvE6fJvuMbyPqy9UtpseMzm81SxCB,,,,
4oEQ5ZfvYvjriBGejiYAmj2MDgRyKqbnDM6GNv9cvgGEoowDgbBDT7HUPj9iCZ3VBDEj2X5TcLycwfNKMwzBojdE,,,,
5MetxnGUK4JfdLgYm4gXZZD8LPN4J2D8CHVLevDVyTQBk59afXK375b1wVkvehqhCHqnbHjHnvsGCpNXew1xhuTh,,,,
mujS9fcXuMaPg4na6A2LtnboSGvcS69cfsLLaKwbyvkci1RZAPkq9i8G1i8FrrSGCSVTiFQkGCzoJKquLULaLBR,,,,
mujS9fcXuMaPg4na6A2LtnboSGvcS69cfsLLaKwbyvkci1RZAPkq9i8G1i8FrrSGCSVTiFQkGCzoJKquLULaLBR,,,,
3497dhPRtD4BifjN3UxAdRyUvFbUowcwk6d4sTeQECFQ44HzoBB9r3sZX4qcZYMLekDLa6uokeFeX5rRwcie93DS,,,,
5segYR6RxAkfRefFYvgxDVZ51eKYyYBCwZppsYPKsuQKuTihLy5mgXdnFrRraGzJSWaEvvLGYoFFfcywLYr1i5hc,,,,
4eEQMv9S96AvJHNCKjc6n2a5ckPndWE8HJe3XUySwwyFUWo815kiScqBVps1WMPfYPnuXrev6EQXtKgCB9QZqVhm,,,,
